experiment_id,design,split_role,model,reference_block,feature_count,fit_seconds,parameters,n,positive_count,positive_prevalence,pr_auc,roc_auc,recall,precision,f1,balanced_accuracy,brier_score,threshold,tn,fp,fn,tp
b_minus_occupied_random,random,validation,xgboost,B,15,1.3735141000070143,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 200, ""subsample"": 0.8}",23824,6128,0.25721961047683006,0.6470899392605475,0.8507389652896141,0.7266644908616188,0.5779364049318624,0.6438227427166919,0.7714470736405743,0.13018364955304956,0.34006059169769287,14444,3252,1675,4453
b_minus_occupied_random,random,test,xgboost,B,15,1.3735141000070143,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 200, ""subsample"": 0.8}",25814,6640,0.257224761757186,0.652251789263307,0.8533284161471169,0.7280120481927711,0.5799640071985603,0.6456093489148581,0.772710519767607,0.12924540779460184,0.34006059169769287,15673,3501,1806,4834
b_minus_occupied_temporal,temporal,validation,xgboost,B,15,1.3118818999791984,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 200, ""subsample"": 0.8}",23824,7085,0.29738918737407655,0.6627674043082915,0.8402793513413606,0.7583627381792519,0.5897914379802415,0.6635381290521766,0.767555823955508,0.1446372025498255,0.3149700462818146,13002,3737,1712,5373
b_minus_occupied_temporal,temporal,test,xgboost,B,15,1.3118818999791984,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 200, ""subsample"": 0.8}",25814,6850,0.2653598822344464,0.6386985686156484,0.838319797634242,0.7078832116788322,0.5757539776775112,0.6350183342063908,0.7597367967274145,0.13721570959494397,0.3149700462818146,15391,3573,2001,4849
building_type_temporal,temporal,validation,logistic_regression,B,1,0.14761109999381006,"{""C"": 1.0}",23824,7085,0.29738918737407655,0.55102152478519,0.7843662232094785,0.7057163020465773,0.5434782608695652,0.6140620202640467,0.7274026279932391,0.16379600026285263,0.2714024782180786,12539,4200,2085,5000
building_type_temporal,temporal,test,logistic_regression,B,1,0.14761109999381006,"{""C"": 1.0}",25814,6850,0.2653598822344464,0.5173179159412711,0.777942863697178,0.6467153284671533,0.5158961220449517,0.5739457148409665,0.7137552596775758,0.15590445306788028,0.2714024782180786,14807,4157,2420,4430
arrival_size_temporal,temporal,validation,logistic_regression,C,1,0.12935830000787973,"{""C"": 1.0}",23824,7085,0.29738918737407655,0.9629340904092467,0.9821964080267082,0.9172900494001411,0.997544128933231,0.955735294117647,0.9581670988980513,0.02341984261255548,0.7691143751144409,16723,16,586,6499
arrival_size_temporal,temporal,test,logistic_regression,C,1,0.12935830000787973,"{""C"": 1.0}",25814,6850,0.2653598822344464,0.9626575879470096,0.9834525039375415,0.9216058394160584,0.996527229676401,0.9576033371255215,0.960222873304317,0.02017238645289792,0.7691143751144409,18942,22,537,6313
