block,random_ap,temporal_ap,ap_difference,absolute_lift_difference,normalized_ap_difference,roc_auc_difference
A,0.5647905282499158,0.5595187993381312,0.005271728911784623,0.013406849389045017,0.013664224129174285,0.01335666912776945
B,0.6566246779018947,0.640199883921481,0.016424793980413743,0.024559914457674137,0.027476792750540158,0.01533908487582325
C,0.9739248339740112,0.9820794954052964,-0.008154661431285182,-1.954095402478817e-05,-0.010711472712205072,-0.0022922832474620014
