design,block,model,n,positive_count,positive_prevalence,pr_auc,pr_auc_baseline,pr_auc_absolute_lift,normalized_pr_auc,roc_auc,brier_score
random,B,logistic_regression,25814,6640,0.257224761757186,0.6392300145091733,0.257224761757186,0.38200525275198727,0.5142945444111713,0.8449048174548618,0.1323039724525255
random,B,random_forest,25814,6640,0.257224761757186,0.6514342558867698,0.257224761757186,0.39420949412958384,0.5307251424565076,0.852844044112195,0.1298816925288777
random,B,xgboost,25814,6640,0.257224761757186,0.6566246779018947,0.257224761757186,0.3993999161447087,0.5377130194721764,0.855089480169557,0.1285689355078844
temporal,B,logistic_regression,25814,6850,0.2653598822344464,0.6282751979768539,0.2653598822344464,0.36291531574240754,0.4940042164403347,0.8307631324507287,0.1396810427598941
temporal,B,random_forest,25814,6850,0.2653598822344464,0.6337554005613166,0.2653598822344464,0.36839551832687023,0.5014639269188899,0.8350138295071569,0.1380776908809294
temporal,B,xgboost,25814,6850,0.2653598822344464,0.640199883921481,0.2653598822344464,0.3748400016870346,0.5102362267216363,0.8397503952937337,0.1365984365894161
