design,split_role,block,model,parameters,fit_seconds,n,positive_count,positive_prevalence,pr_auc,roc_auc,recall,precision,f1,balanced_accuracy,brier_score,threshold,tn,fp,fn,tp
temporal,test,A,catboost,"{""iterations"": 200, ""learning_rate"": 0.1, ""depth"": 6, ""l2_leaf_reg"": 10.0}",8.825581700075418,25814,6850,0.2653598822344464,0.5614090228324691,0.7999168959395981,0.6620437956204379,0.5440259117082533,0.5972606347952061,0.730805698696108,0.15065700138946608,0.32418457545196283,15163,3801,2315,4535
temporal,test,B,xgboost,"{""n_estimators"": 200, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",1.361258399905637,25814,6850,0.2653598822344464,0.640199883921481,0.8397503952937337,0.741021897810219,0.5605123674911661,0.6382497170878914,0.7655752813244303,0.13659843658941614,0.2836891710758209,14984,3980,1774,5076
temporal,test,C,xgboost,"{""n_estimators"": 200, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",1.5503224999411032,25814,6850,0.2653598822344464,0.9820794954052965,0.9894362657174485,0.9242335766423357,0.9906117978407135,0.9562721848802961,0.9605348435837706,0.019284856874156417,0.3571653366088867,18904,60,519,6331
random,test,A,catboost,"{""iterations"": 200, ""learning_rate"": 0.1, ""depth"": 6, ""l2_leaf_reg"": 10.0}",8.91430019994732,25814,6640,0.257224761757186,0.5659482342854573,0.8126174367334783,0.7436746987951808,0.5135725429017161,0.6075669024915411,0.7498753174793678,0.14401634963298596,0.278657392446448,14497,4677,1702,4938
random,test,B,xgboost,"{""n_estimators"": 200, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",1.3757486999966204,25814,6640,0.257224761757186,0.6566246779018947,0.855089480169557,0.7286144578313253,0.5835243034615849,0.6480476860223696,0.7742634195905349,0.12856893550788442,0.34557846188545227,15721,3453,1802,4838
random,test,C,xgboost,"{""n_estimators"": 200, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",1.5792301000328735,25814,6640,0.257224761757186,0.9739248339740112,0.9871439824699865,0.9076807228915663,0.987708947885939,0.9460053366818396,0.9518845880025788,0.023200158732185273,0.5401079654693604,19099,75,613,6027
