design,block,model,candidate_id,parameters,n,positive_count,positive_prevalence,pr_auc,roc_auc,recall,precision,f1,balanced_accuracy,brier_score,threshold,tn,fp,fn,tp,fit_seconds
temporal,B,xgboost,4,"{""n_estimators"": 200, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",23824,7085,0.29738918737407655,0.666332130786749,0.8415736170791523,0.7881439661256175,0.574840436483426,0.66480147627835,0.7707073854165933,0.1438690634198639,0.2836891710758209,12609,4130,1501,5584,1.4300454000476748
temporal,B,catboost,1,"{""iterations"": 100, ""learning_rate"": 0.1, ""depth"": 6, ""l2_leaf_reg"": 3.0}",23824,7085,0.29738918737407655,0.6576397266081273,0.8353430473073609,0.7545518701482005,0.584773572522424,0.6589018302828619,0.7638880385450364,0.14641280429680623,0.3204928673092886,12943,3796,1739,5346,5.299900199985132
temporal,B,catboost,2,"{""iterations"": 300, ""learning_rate"": 0.05, ""depth"": 6, ""l2_leaf_reg"": 3.0}",23824,7085,0.29738918737407655,0.6656890084964686,0.8403926689993235,0.7782639378969655,0.5775636325547292,0.663059163059163,0.7686647964770089,0.14414559307162292,0.2918712298322455,12706,4033,1571,5514,33.96906469995156
temporal,B,catboost,3,"{""iterations"": 200, ""learning_rate"": 0.1, ""depth"": 4, ""l2_leaf_reg"": 3.0}",23824,7085,0.29738918737407655,0.6634877400489838,0.8390171187743851,0.7637261820748059,0.5835849870578085,0.6616127651769884,0.7665336209376359,0.14476655490956997,0.3058575109201249,12878,3861,1674,5411,14.429057400091551
temporal,B,catboost,4,"{""iterations"": 200, ""learning_rate"": 0.1, ""depth"": 6, ""l2_leaf_reg"": 10.0}",23824,7085,0.29738918737407655,0.6662933924613073,0.840158870698768,0.7837685250529287,0.5733016725170349,0.6622145369983901,0.7684300537923703,0.14424423984276924,0.2815668632868977,12606,4133,1532,5553,22.702950799954124
random,B,logistic_regression,1,"{""C"": 0.1}",23824,6128,0.25721961047683006,0.6311284966967612,0.8434232142709598,0.7552219321148825,0.549578434865218,0.6361949274864251,0.7704398539417089,0.13292069947529686,0.2982387840747833,13903,3793,1500,4628,1.3421639000298455
random,B,logistic_regression,2,"{""C"": 1.0}",23824,6128,0.25721961047683006,0.6311518531307924,0.8434462129336069,0.7460835509138382,0.5552586835074083,0.6366801281158613,0.7695720647878413,0.1329084638656007,0.30903926491737366,14034,3662,1556,4572,1.276789900031872
random,B,logistic_regression,3,"{""C"": 10.0}",23824,6128,0.25721961047683006,0.6309670403638601,0.8433841469757293,0.7668080939947781,0.5438657407407408,0.6363759479956663,0.7720511988961232,0.1329468914256944,0.28755983710289,13755,3941,1429,4699,1.332376500009559
random,B,random_forest,1,"{""n_estimators"": 100, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",23824,6128,0.25721961047683006,0.611686523894533,0.8350163131893329,0.7384138381201044,0.5397828939520458,0.6236648060092344,0.7601992337074301,0.13743532848624204,0.30633333333333335,13838,3858,1603,4525,72.99387219990604
random,B,random_forest,2,"{""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",23824,6128,0.25721961047683006,0.6165952516443838,0.8379060112344133,0.7067558746736292,0.5634920634920635,0.6270450267844216,0.7585825033404312,0.1362973493402079,0.3366666666666667,14341,3355,1797,4331,215.9531729000155
random,B,random_forest,3,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}",23824,6128,0.25721961047683006,0.643253625358426,0.84921133399178,0.743635770234987,0.5667910447761194,0.6432806324110671,0.7734058145930811,0.13106700217884906,0.3399175365666454,14213,3483,1571,4557,55.83387170010246
random,B,random_forest,4,"{""n_estimators"": 200, ""max_depth"": 20, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",23824,6128,0.25721961047683006,0.6421875433546042,0.847888634241663,0.7671344647519582,0.5508554019217249,0.6412494884736052,0.7752659213452378,0.1313931363031854,0.31467797715223655,13863,3833,1427,4701,46.14773840003181
random,B,xgboost,1,"{""n_estimators"": 100, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""subsample"": 1.0, ""colsample_bytree"": 1.0}",23824,6128,0.25721961047683006,0.6473131532608626,0.8511602954407834,0.7744778067885117,0.5531468531468532,0.6453630677182486,0.7789093373906393,0.1299044722814685,0.28994157910346985,13862,3834,1382,4746,1.2740595999639481
random,B,xgboost,2,"{""n_estimators"": 300, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""subsample"": 1.0, ""colsample_bytree"": 1.0}",23824,6128,0.25721961047683006,0.6493015295787538,0.8520979981314832,0.7147519582245431,0.5895020188425303,0.6461129960171117,0.771198311842832,0.1294460745856331,0.35839906334877014,14646,3050,1748,4380,1.6581210000440478
random,B,xgboost,3,"{""n_estimators"": 200, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""subsample"": 1.0, ""colsample_bytree"": 1.0}",23824,6128,0.25721961047683006,0.6397117719596009,0.8465372783792062,0.7514686684073107,0.5600145932141554,0.641767124242213,0.7735078423410875,0.13171754720193682,0.3235694169998169,14078,3618,1523,4605,1.2668884999584407
random,B,xgboost,4,"{""n_estimators"": 200, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",23824,6128,0.25721961047683006,0.6506764048340465,0.8525248612407872,0.726990861618799,0.5811374902165406,0.645933014354067,0.7727687129070486,0.12938477134456633,0.34557846188545227,14485,3211,1673,4455,1.3823291000444442
random,B,catboost,1,"{""iterations"": 100, ""learning_rate"": 0.1, ""depth"": 6, ""l2_leaf_reg"": 3.0}",23824,6128,0.25721961047683006,0.6406871431338291,0.8475430364549643,0.7514686684073107,0.5639235855988244,0.6443262907513642,0.7751183757949754,0.1312765413563053,0.32042811391880077,14135,3561,1523,4605,5.55609050008934
random,B,catboost,2,"{""iterations"": 300, ""learning_rate"": 0.05, ""depth"": 6, ""l2_leaf_reg"": 3.0}",23824,6128,0.25721961047683006,0.6485590997070383,0.8520619509092348,0.7903067885117493,0.5479126598031452,0.6471570789069285,0.7822465226464714,0.12947667119966805,0.27791789958288227,13700,3996,1285,4843,32.28396879998036
random,B,catboost,3,"{""iterations"": 200, ""learning_rate"": 0.1, ""depth"": 4, ""l2_leaf_reg"": 3.0}",23824,6128,0.25721961047683006,0.6454135821259754,0.850949176201552,0.7896540469973891,0.5470269048157359,0.6463202885000667,0.7816093471876637,0.12995171720423704,0.2775451708314277,13689,4007,1289,4839,13.961640299996361
random,B,catboost,4,"{""iterations"": 200, ""learning_rate"": 0.1, ""depth"": 6, ""l2_leaf_reg"": 10.0}",23824,6128,0.25721961047683006,0.6491429836946123,0.8524921107394275,0.7684399477806788,0.5609959494877294,0.648533259881559,0.7801003988451314,0.12927773177991378,0.30291096019279345,14011,3685,1419,4709,21.48104580002837
