split_seed,estimator_seed,design,block,model,n,positive_count,positive_prevalence,pr_auc,roc_auc,recall,precision,f1,balanced_accuracy,brier_score,threshold,tn,fp,fn,tp
20260801,20260801,random,B,xgboost,25814,6640,0.257224761757186,0.6566246779018947,0.855089480169557,0.7286144578313253,0.5835243034615849,0.6480476860223696,0.7742634195905349,0.12856893550788442,0.34557846188545227,15721,3453,1802,4838
20260802,20260801,random,B,xgboost,25814,6640,0.257224761757186,0.6585016954339926,0.855323795966174,0.7623493975903615,0.5708807939551145,0.6528664474108468,0.781951792776614,0.1280716432716229,0.325299471616745,15369,3805,1578,5062
20260803,20260801,random,B,xgboost,25814,6640,0.257224761757186,0.6495488987873612,0.8542173073225414,0.770933734939759,0.5616633750274304,0.6498667005205028,0.7812893353951951,0.12902077883661425,0.3146379292011261,15179,3995,1521,5119
20260804,20260801,random,B,xgboost,25814,6640,0.257224761757186,0.6545311504018357,0.8539545856839269,0.7237951807228916,0.5883937316356513,0.6491085899513777,0.7742267861474059,0.12903234527717952,0.3546498715877533,15812,3362,1834,4806
20260805,20260801,random,B,xgboost,25814,6640,0.257224761757186,0.6591322034002249,0.8542762829245427,0.6957831325301205,0.6014841817471683,0.6452063403393618,0.7680699328030804,0.12868050338808945,0.3771945536136627,16113,3061,2020,4620
20260806,20260801,random,B,xgboost,25814,6640,0.257224761757186,0.6490188863890639,0.8523423882240132,0.7435240963855422,0.569500519091014,0.6449800770788425,0.7744427616589231,0.1299627935677154,0.32853958010673523,15442,3732,1703,4937
20260807,20260801,random,B,xgboost,25814,6640,0.257224761757186,0.6540867993621021,0.8539702750712876,0.7528614457831325,0.5712490001142727,0.6496004158274317,0.7785898967728638,0.12914350328765273,0.3251592516899109,15422,3752,1641,4999
20260808,20260801,random,B,xgboost,25814,6640,0.257224761757186,0.653652045801022,0.8530684318058717,0.7585843373493976,0.5638012088650101,0.646847309618595,0.7776701805658013,0.1293342917749712,0.3146488070487976,15277,3897,1603,5037
20260809,20260801,random,B,xgboost,25814,6640,0.257224761757186,0.6482153099527934,0.8526324474910175,0.7406626506024097,0.5726595249184909,0.6459154189650643,0.7746288114804059,0.12971623942599295,0.3343730568885803,15504,3670,1722,4918
20260810,20260801,random,B,xgboost,25814,6640,0.257224761757186,0.652656052491404,0.8505454290825553,0.7478915662650603,0.5691690544412608,0.6464041653107713,0.7759224181591287,0.130110125718082,0.32904642820358276,15415,3759,1674,4966
20260811,20260801,random,B,xgboost,25814,6640,0.257224761757186,0.6602897604143617,0.8556346343441985,0.7454819277108434,0.5783385909568874,0.6513586420159221,0.7786291457684289,0.12831157810029808,0.3323518931865692,15565,3609,1690,4950
20260812,20260801,random,B,xgboost,25814,6640,0.257224761757186,0.6490354453575056,0.8531773817393282,0.7204819277108434,0.5845552297165201,0.6454398273070696,0.7715792344301583,0.12963387279360994,0.35535329580307007,15774,3400,1856,4784
20260813,20260801,random,B,xgboost,25814,6640,0.257224761757186,0.6500281886760036,0.8486622548921042,0.7262048192771084,0.5724801139736436,0.6402443072429131,0.7691992073855032,0.13104768203006634,0.3398078978061676,15573,3601,1818,4822
20260814,20260801,random,B,xgboost,25814,6640,0.257224761757186,0.6496836678460051,0.8479272493122589,0.7286144578313253,0.5728833629366489,0.6414318859794498,0.7702475647871553,0.1308568183933296,0.34448766708374023,15567,3607,1802,4838
20260815,20260801,random,B,xgboost,25814,6640,0.257224761757186,0.6624392126414878,0.8547454682608603,0.7581325301204819,0.5673391186746309,0.6490040611100367,0.7789567417474215,0.12845207093522587,0.31981879472732544,15335,3839,1606,5034
20260816,20260801,random,B,xgboost,25814,6640,0.257224761757186,0.6390644230384345,0.8467879602272655,0.7603915662650602,0.5476732834363814,0.6367362380982408,0.7714547796903688,0.13194151581816108,0.30571940541267395,15004,4170,1591,5049
20260817,20260801,random,B,xgboost,25814,6640,0.257224761757186,0.6683114859690941,0.8572720447870547,0.7203313253012048,0.5946046742913973,0.6514573685644238,0.7751286333400778,0.12726574719987296,0.3627702593803406,15913,3261,1857,4783
20260818,20260801,random,B,xgboost,25814,6640,0.257224761757186,0.6488008602118305,0.8509580658610242,0.7783132530120482,0.5491446180002125,0.6439474176063796,0.778512003579144,0.13037609600585595,0.28680187463760376,14931,4243,1472,5168
20260819,20260801,random,B,xgboost,25814,6640,0.257224761757186,0.6558931611935976,0.8524218483928412,0.7298192771084338,0.5747153700189753,0.6430467091295117,0.7713975909898068,0.12969444201838462,0.34260880947113037,15588,3586,1794,4846
20260820,20260801,random,B,xgboost,25814,6640,0.257224761757186,0.6548863685191014,0.8539053143312795,0.7341867469879518,0.5757647336719027,0.6453961739590918,0.7734248640541095,0.12937903942018802,0.34064000844955444,15582,3592,1765,4875
